# p(Msol/kpc^3) y(kpc)
208327990.064174 0.740516 
75503177.485532 2.221549 
30538813.962335 3.702582 
14254646.446150 5.183614 
7209225.931856 6.664647 
4046612.405673 8.145680 
2119784.084328 9.626712 
1260923.433487 11.107745 
708196.175739 12.588778 
400609.928402 14.069810 
234913.056325 15.550843 
159828.743220 17.031876 
77421.510467 18.512908 
62358.392371 19.993941 
25575.410043 21.474974 
22891.620482 22.956006 
12569.999573 24.437039 
5986.528244 25.918072 
6785.509228 27.399104 
2893.051423 28.880137 
