# x(kpc) y(kpc) z(kpc)
-0.689524 -0.900160 -0.445643 
1.832675 1.806620 -0.471376 
-15.273257 4.727260 -0.125553 
-5.037984 -1.972203 0.504474 
-4.843082 8.327713 -0.881791 
-5.581326 -3.501328 0.192696 
8.553427 1.227838 -0.605790 
-5.971494 10.053135 0.218016 
1.073258 -0.971170 0.287514 
11.857143 -6.440675 -0.116053 
-5.140570 -7.263380 0.500225 
9.252274 -14.662582 -0.304830 
-0.042119 8.282640 0.319468 
-4.126534 -2.195856 -0.239443 
8.636004 -6.609005 -0.372048 
-5.349581 4.841211 -0.199662 
6.947876 -3.294747 0.412848 
0.447709 0.470100 -0.176786 
2.170390 -4.072196 -0.221314 
-0.214157 -0.859262 0.292844 
-0.218154 10.658426 0.440349 
-1.204379 -8.653199 0.787512 
4.778275 -3.162961 -0.411186 
-2.780319 -4.254330 -1.226215 
-2.166355 -6.112344 0.432610 
-2.090302 3.010460 -0.854213 
8.274387 0.250797 -0.033076 
3.670222 -0.150342 0.171764 
1.530606 6.371109 -0.117687 
2.381823 -2.348318 -0.559529 
-3.903385 -0.618518 0.396850 
14.979066 3.945652 -0.875760 
10.757607 5.885768 -1.402502 
0.101772 1.462972 -0.065507 
-0.069599 6.492823 -0.056137 
2.572774 4.244799 0.330590 
-2.140376 -8.067004 0.152755 
-6.468602 -3.737517 0.451088 
1.964557 0.113933 -1.763808 
-9.612710 4.141157 0.020658 
-0.548836 9.132619 -0.205977 
-4.341933 -4.222443 -0.019317 
-5.707306 -2.046800 -0.883849 
-2.928637 2.550493 -0.715270 
2.971163 2.520195 1.256866 
-5.924417 -15.490029 0.357471 
-1.526369 1.595011 0.211202 
-2.315502 -1.658620 0.713709 
-2.658377 6.502727 -0.870092 
-1.281400 -1.821787 0.166990 
-6.800945 -3.258398 -0.054348 
-0.575465 0.865080 -0.086125 
0.941705 4.855411 -1.697797 
3.842165 1.006394 -0.024693 
5.642692 -1.970880 0.547069 
7.475981 -6.790822 0.549841 
-7.377904 -1.509986 -0.152885 
-3.312179 -5.368504 1.199231 
-2.556853 16.198931 0.116323 
0.042675 -5.721707 -0.187729 
1.261799 -2.002419 0.194723 
-4.418298 1.409644 -0.172455 
1.484403 0.204906 -0.248961 
-0.473626 -0.936522 0.780023 
-7.152978 -15.721899 -0.145569 
-3.972045 1.345464 -0.555616 
-8.743885 -7.086527 -0.061890 
8.762937 14.430629 -0.303129 
-0.988427 -2.153514 0.296902 
6.446363 -10.467058 0.521304 
7.183392 4.819379 0.346612 
3.040194 -6.123216 -0.722984 
9.228262 14.451779 0.818730 
-0.882457 -1.141780 -0.317947 
3.945703 -1.418480 -0.493667 
-0.163857 2.898818 0.267070 
4.087507 -1.163464 0.398903 
-8.572026 -2.458265 -0.842783 
-11.857202 0.400096 0.787577 
1.428756 -2.959762 0.129692 
-10.418902 1.050754 0.741626 
0.077758 1.072352 0.258193 
4.486011 -1.197001 0.412087 
1.647787 -4.266767 -0.043043 
-23.437614 10.673950 0.584075 
-5.849093 6.236091 1.246475 
-6.095162 -2.163821 0.692252 
0.284939 1.611654 -0.547799 
0.610126 -5.126103 -0.165695 
3.447644 10.482345 -1.771562 
-5.988396 3.907786 -1.734932 
1.350878 -3.660795 -0.072325 
1.466578 1.498777 0.745466 
2.693039 1.901676 0.238402 
8.212707 8.425220 -0.414861 
-2.818327 0.169670 -0.174072 
1.374897 8.519291 0.221016 
0.029416 1.513350 -0.484935 
4.545578 3.906669 -0.992591 
-4.126371 -4.272197 -1.595844 
0.705352 3.463228 -0.121509 
-8.075630 0.106030 1.144374 
1.565835 -3.583077 1.572411 
-9.293619 2.894153 0.336225 
0.659803 2.960430 0.490954 
-0.300057 3.613196 0.743902 
-3.071786 -3.833134 -0.349019 
6.938374 1.231628 -0.204103 
-4.023507 0.044656 -0.381402 
8.564052 1.335796 1.634483 
-12.734451 -3.817191 0.781408 
-5.066226 -2.347315 -0.037277 
1.964835 -3.715228 0.393430 
-2.894947 -0.445690 0.094654 
3.121989 1.566348 0.258318 
-2.535687 -3.627641 0.287791 
-1.056201 4.146913 -0.041936 
-2.299556 -1.258659 -0.249195 
-0.431669 0.155485 -0.384505 
1.079414 6.491358 0.210068 
-5.888276 -3.259036 -0.581370 
-3.640210 4.644647 -0.582219 
-7.428716 -1.037998 -0.040135 
4.755603 -11.091384 -0.178188 
2.706469 -3.732236 0.280484 
-2.362271 1.777323 -1.007289 
5.601966 -3.558436 -0.671757 
0.513408 -11.293181 -0.017744 
-3.031034 -1.305716 0.217949 
8.892336 4.462042 -0.408579 
2.699655 2.611570 1.109216 
-10.613272 -3.803447 -0.164509 
-1.309513 -2.310459 0.164576 
-1.798333 -9.900098 0.021683 
3.589499 0.691190 1.599517 
8.613134 -3.001680 -0.355972 
-1.227956 2.419568 0.833372 
-3.089327 0.411335 0.105215 
-4.669016 -6.087803 0.254135 
0.812268 -0.969407 0.083781 
1.033821 -0.784314 0.103500 
-11.085143 4.375362 0.348084 
0.251676 -0.848724 -0.159358 
-3.795609 -4.908744 0.494726 
-11.043516 8.246597 0.091648 
1.533189 3.538379 -0.417813 
-3.011563 -5.759075 -0.233062 
2.202277 -0.403888 0.314416 
-6.700532 -3.676874 -0.343244 
0.213005 -0.158615 0.387024 
-0.684000 -0.244345 -0.344128 
2.158468 -7.183634 0.201969 
-6.724790 4.990287 2.100892 
1.916257 -10.924703 -0.486373 
-0.850225 0.746615 -0.570780 
0.945054 -7.830988 -0.291620 
-1.647385 -2.050963 0.435494 
1.452852 1.777119 -0.810084 
-6.499687 -3.364975 0.534012 
4.448737 -5.847236 -0.005752 
9.998430 10.322022 0.137012 
2.141478 1.598670 -0.525762 
-4.651464 -4.887716 -0.061401 
-1.200286 2.136966 -1.066599 
-2.407733 -3.564470 0.143610 
10.044040 9.749051 -0.372086 
3.056784 3.975899 0.081595 
-5.360121 0.920809 -0.699711 
-23.876524 -4.402925 0.170520 
5.372083 -3.323624 -0.301870 
4.376400 0.014614 0.278056 
-2.793132 1.232512 1.416003 
9.482352 1.355085 0.076805 
-1.484871 -0.513550 0.550219 
-10.617564 0.428952 0.955784 
0.202761 5.434032 -0.194452 
0.441520 -0.425465 -0.428443 
5.430713 -1.652243 0.055009 
-11.968885 13.844550 1.202185 
-12.280635 -2.324476 0.816959 
-2.602176 -9.043523 -1.173999 
-2.306530 -4.553709 -0.323124 
3.903017 3.203898 -1.605202 
-3.096427 -5.181687 0.430545 
-1.694104 1.095342 0.388377 
-6.520857 2.684123 0.613110 
0.806490 3.346187 -0.260706 
6.512557 2.707090 -0.487747 
4.797321 7.436188 0.747986 
0.108864 -0.697001 -0.859766 
3.090427 -1.362161 -0.442317 
4.267852 0.716620 1.055796 
-2.174856 7.329239 -1.423952 
11.294485 15.830070 -0.275097 
-1.462143 2.909515 -0.729378 
-1.209442 4.091449 0.771277 
-0.997261 -11.127539 0.283965 
-1.627538 -1.175542 0.619563 
0.374377 -8.091384 0.519566 
-12.004116 -7.135865 -0.436754 
10.679874 0.520165 -0.153063 
-1.319272 -9.328420 -1.259775 
3.200325 5.371433 -0.019328 
-26.853153 -7.774975 0.376111 
-8.266516 -0.215837 0.294039 
-6.903387 -1.316983 0.345828 
-2.109241 -7.331105 -0.646931 
2.453633 4.930566 -0.590105 
-3.019636 4.140433 -0.506195 
1.937397 -2.723684 -0.417550 
2.587784 1.979347 -0.555841 
-7.082472 2.809483 0.598664 
2.784077 5.363020 -0.916096 
7.593781 -0.042244 -0.270650 
3.868835 -6.002434 0.029319 
5.300698 4.057179 -0.626572 
0.776785 1.430011 -0.242376 
8.463121 -1.940798 1.386590 
1.571892 -1.369386 0.131614 
-0.015699 -0.958320 0.359041 
-1.134833 -2.819099 -1.302312 
4.057436 6.113645 -1.079951 
5.555166 0.035734 0.587451 
4.770069 4.432613 -0.407090 
-10.564537 -2.859210 0.352270 
1.322726 -0.327553 -0.393751 
-1.202365 -1.307093 0.291098 
7.613547 -3.143845 -0.479996 
1.436003 -3.418258 -1.365169 
7.081502 -2.812355 0.088511 
1.952138 -0.086265 0.388941 
0.862317 -0.655672 0.206452 
-10.024017 3.150847 -0.267689 
-5.146485 2.697406 -0.149871 
-5.475921 -2.304059 -0.972170 
4.857049 1.530040 -0.555497 
-23.372703 -7.841224 -0.207158 
5.286881 -2.130584 0.076587 
10.389761 1.832570 -0.196182 
1.368748 -0.669269 -0.609195 
0.982841 2.128470 0.094579 
-18.409929 -8.909065 -0.129885 
-1.684582 -1.284235 -0.711600 
5.356164 -6.940647 0.114524 
17.629193 -5.588741 -0.127792 
-0.945691 -20.004761 0.250505 
-5.382209 2.466305 0.426060 
7.475608 -2.377626 0.086548 
-5.028282 -5.635858 -0.554150 
0.601516 -1.908679 -0.225560 
2.325290 3.275577 -0.497453 
-5.965715 0.803566 0.080432 
2.467738 0.374522 -0.481916 
0.756025 -4.853459 0.203749 
0.681811 -1.397391 -0.507569 
-7.567626 -6.948293 0.522601 
-8.933092 1.819744 -0.036366 
-0.450281 -9.036585 0.595191 
-4.313210 1.641033 -0.239110 
-0.069777 9.529577 -0.999728 
1.387581 1.263980 -1.280486 
-8.499603 6.706119 0.008708 
10.975049 1.250261 1.030844 
2.224564 -4.251543 -0.001295 
-19.822521 -13.314343 0.603720 
-5.328528 6.511994 0.223672 
2.891016 -4.954134 -0.138893 
1.161969 2.692076 0.914619 
