# p(Msol/kpc^3) r(kpc) 
8973249.141099 62.493183 
1407685.946701 187.479548 
389241.716001 312.465914 
138825.842357 437.452279 
66161.730491 562.438645 
34731.367670 687.425010 
18159.125129 812.411376 
12064.487073 937.397742 
6956.306669 1062.384107 
5454.133742 1187.370473 
3277.844277 1312.356838 
2085.991555 1437.343204 
1832.807997 1562.329569 
1370.233802 1687.315935 
946.937810 1812.302300 
770.577930 1937.288666 
590.217030 2062.275031 
501.895297 2187.261397 
433.804895 2312.247762 
404.243452 2437.234128 
