# p(Msol/kpc^3) r(kpc) 
0.000000 1.239373 
0.000000 1.832720 
0.000000 2.710129 
0.000000 4.007594 
11641436.296427 5.926218 
0.000000 8.763376 
3340140.139972 12.958816 
4131836.367268 19.162809 
2768558.149956 28.336946 
1942901.337971 41.903171 
1425755.991574 61.964186 
929089.644628 91.629349 
541537.865869 135.496619 
259343.652471 200.365209 
117743.781428 296.289437 
44709.627991 438.137094 
14343.450843 647.893882 
3887.525234 958.071087 
1046.316341 1416.744677 
258.758463 2095.006839 
