# p(Msol/kpc^3) r(kpc) 
0.000000 1.239375 
1416928917.313109 1.832725 
438191721.462996 2.710141 
677563928.622516 4.007620 
377171515.932651 5.926267 
129602232.479226 8.763464 
144288290.528756 12.958969 
80567158.832787 19.163070 
47531605.283013 28.337381 
21219245.256746 41.903890 
14040797.640273 61.965360 
7210514.036890 91.631249 
3060831.762580 135.499670 
1226320.322381 200.370079 
447985.423628 296.297168 
140304.411512 438.149311 
41690.104810 647.913105 
10611.811260 958.101227 
2646.870172 1416.791779 
591.864836 2095.080235 
